"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_unknown_label_flagged","tests.protocol","2026-07-12","passed","2026-07-12","TestARINC429Validator","test_arinc429","",""
"","1","test_404_body_is_json","tests.security","2026-07-12","passed","2026-07-12","TestPublicEndpoints","test_efb_api","",""
"","0","test_null_address_does_not_crash","tests.protocol","2026-07-12","passed","2026-07-12","TestMalformedAddressAttack","test_acars_parser","",""
"","1","test_stream_timestamps_are_monotonic","tests.protocol","2026-07-12","passed","2026-07-12","TestNormalFlightScenario","test_arinc429","",""
"","1","test_version_has_api_version","tests.security","2026-07-12","passed","2026-07-12","TestPublicEndpoints","test_efb_api","",""
"","0","test_empty_bytes_returns_truncated","tests.protocol","2026-07-12","passed","2026-07-12","TestEdgeCases","test_acars_parser","",""
"","0","test_each_entry_has_finding_id","tests.agents","2026-07-12","passed","2026-07-12","TestComplianceMapperContract","test_agents","",""
"","0","test_markdown_contains_scope_disclaimer","tests.agents","2026-07-12","passed","2026-07-12","TestComplianceMapperMarkdown","test_agents","",""
"","1","test_create_plan_missing_fields_returns_422","tests.security","2026-07-12","passed","2026-07-12","TestFlightPlanContract","test_efb_api","",""
"","0","test_attack_trees_is_list","tests.agents","2026-07-12","passed","2026-07-12","TestThreatModellerContract","test_agents","",""
"DoS probe: extremely long route string.","1","test_oversized_route_field","tests.security","2026-07-12","passed","2026-07-12","TestInjectionAttacks","test_efb_api","",""
"","0","test_single_finding_handled","tests.agents","2026-07-12","passed","2026-07-12","TestComplianceMapperContract","test_agents","",""
"","0","test_unknown_finding_id_gets_default_cvss","tests.agents","2026-07-12","passed","2026-07-12","TestPentestNarratorFallback","test_agents","",""
"","0","test_all_zeros_does_not_crash","tests.protocol","2026-07-12","passed","2026-07-12","TestEdgeCases","test_acars_parser","",""
"","0","test_takeoff_empty_body_defaults_to_zero_weight","tests.security","2026-07-12","passed","2026-07-12","TestPerformanceContract","test_efb_api","",""
"","1","test_bnr_rejects_out_of_range_low","tests.protocol","2026-07-12","passed","2026-07-12","TestBNREncoding","test_arinc429","",""
"
        W1 finding: 100 consecutive failed auth attempts complete without
        any 429 Too Many Requests response.  A hardened API must throttle.
        ","34","test_repeated_auth_attempts_all_return_401","tests.security","2026-07-12","passed","2026-07-12","TestW1NoRateLimiting","test_efb_api","",""
"","0","test_valid_oooi_message","tests.fuzzing","2026-07-12","passed","2026-07-12","TestAcarsParserKnownInputs","test_acars_fuzzing","",""
"","0","test_bnr_failure_warning_returns_none","tests.protocol","2026-07-12","passed","2026-07-12","TestBNREncoding","test_arinc429","",""
"","1","test_maintenance_has_systems_list","tests.security","2026-07-12","passed","2026-07-12","TestMaintenanceRBAC","test_efb_api","",""
"","0","test_returns_compliance_matrix_type","tests.agents","2026-07-12","passed","2026-07-12","TestComplianceMapperContract","test_agents","",""
"","0","test_roundtrip_fields[212-0-3-1]","tests.protocol","2026-07-12","passed","2026-07-12","TestEncodeDecodeRoundtrip","test_arinc429","",""
"
        W4 finding: /api/v1/debug returns 200 with no Authorization header.
        This endpoint must not exist in any deployed environment.
        ","0","test_debug_accessible_without_auth","tests.security","2026-07-12","passed","2026-07-12","TestW4DebugEndpoint","test_efb_api","",""
"","0","test_each_threat_has_test_cases","tests.agents","2026-07-12","passed","2026-07-12","TestThreatModellerContract","test_agents","",""
"","0","test_batch_returns_requested_count","tests.protocol","2026-07-12","passed","2026-07-12","TestOutOfRangeInjector","test_arinc429","",""
"","1","test_values_stay_within_catalog_bounds","tests.protocol","2026-07-12","passed","2026-07-12","TestNormalFlightScenario","test_arinc429","",""
"","0","test_markdown_has_findings_section","tests.agents","2026-07-12","passed","2026-07-12","TestPentestNarratorMarkdown","test_agents","",""
"","0","test_text_length_exceeds_limit","tests.protocol","2026-07-12","passed","2026-07-12","TestOversizedTextAttack","test_acars_parser","",""
"","0","test_missing_auth_header_returns_401","tests.security","2026-07-12","passed","2026-07-12","TestAuthentication","test_efb_api","",""
"XSS probe in flight plan creation — callsign field.","1","test_xss_payload_in_callsign","tests.security","2026-07-12","passed","2026-07-12","TestInjectionAttacks","test_efb_api","",""
"","0","test_to_dict_has_required_keys","tests.fuzzing","2026-07-12","passed","2026-07-12","TestAcarsParserKnownInputs","test_acars_fuzzing","",""
"","0","test_summary_is_non_empty","tests.agents","2026-07-12","passed","2026-07-12","TestThreatModellerContract","test_agents","",""
"","0","test_data_raw_overflow_is_masked","tests.protocol","2026-07-12","passed","2026-07-12","TestEncodeDecodeRoundtrip","test_arinc429","",""
"","0","test_each_entry_has_do326a_process","tests.agents","2026-07-12","passed","2026-07-12","TestComplianceMapperContract","test_agents","",""
"","0","test_live_matrix_has_all_five_entries","tests.agents","2026-07-12","skipped","2026-07-12","TestComplianceMapperLive","test_agents","",""
"","0","test_empty_findings_returns_empty_report","tests.agents","2026-07-12","passed","2026-07-12","TestPentestNarratorFallback","test_agents","",""
"","0","test_injected_word_has_valid_parity","tests.protocol","2026-07-12","passed","2026-07-12","TestOutOfRangeInjector","test_arinc429","",""
"","0","test_each_entry_has_corrective_action","tests.agents","2026-07-12","passed","2026-07-12","TestComplianceMapperContract","test_agents","",""
"","0","test_batch_parse_returns_all","tests.protocol","2026-07-12","passed","2026-07-12","TestNormalMessages","test_acars_parser","",""
"Property: anomalies is always a list (may be empty).","118","test_result_anomalies_is_always_list","tests.fuzzing","2026-07-12","passed","2026-07-12","TestACARSParserReturnType","test_acars_hypothesis","",""
"W5 finding: /api/v1/version leaks Python runtime version.","1","test_version_exposes_python_version","tests.security","2026-07-12","passed","2026-07-12","TestW5InformationDisclosure","test_efb_api","",""
"","0","test_corrupt_frame_marks_as_corrupted","tests.protocol","2026-07-12","passed","2026-07-12","TestParityCorruptionInjector","test_arinc429","",""
"","0","test_roundtrip_fields[65-500-0-0]","tests.protocol","2026-07-12","passed","2026-07-12","TestEncodeDecodeRoundtrip","test_arinc429","",""
"","0","test_free_text_parses_ok","tests.protocol","2026-07-12","passed","2026-07-12","TestNormalMessages","test_acars_parser","",""
"msg_type must always be a valid AcarsMessageType member.","447","test_msg_type_is_always_valid_enum","tests.fuzzing","2026-07-12","passed","2026-07-12","TestAcarsParserProperties","test_acars_fuzzing","",""
"","0","test_markdown_has_attack_tree_section","tests.agents","2026-07-12","passed","2026-07-12","TestThreatModellerMarkdown","test_agents","",""
"","0","test_all_known_labels_parse_ok","tests.protocol","2026-07-12","passed","2026-07-12","TestLabelInjectionAttack","test_acars_parser","",""
"","0","test_raw_response_is_string","tests.agents","2026-07-12","passed","2026-07-12","TestPentestNarratorContract","test_agents","",""
"","0","test_counts_sum_to_total","tests.agents","2026-07-12","passed","2026-07-12","TestComplianceMapperCounting","test_agents","",""
